Name,Count,Rank
Adam,579,11
Adrian,556,14
Albin ,374,38
Alexander ,668,7
Alfred ,541,17
Ali,175,89
Alvin,251,69
Anton,294,52
Aron,213,77
Arvid,507,22
August,327,45
Axel ,554,15
Benjamin,452,30
Carl,279,59
Casper ,300,51
Charlie ,650,9
Colin,252,67
Daniel ,172,91
David ,188,83
Ebbe,332,43
Edward,140,100
Edvin ,454,29
Elias ,664,8
Elis ,187,84
Elliot,524,20
Elton,279,59
Elvin,180,86
Emil,416,33
Erik,385,37
Felix,256,66
Filip,561,13
Folke,151,96
Frank,310,49
Frans,222,75
Gabriel,341,42
Gustav ,419,32
Harry,479,23
Henry,294,52
Hjalmar,229,72
Hugo ,688,6
Isak ,475,25
Ivar,185,85
Jack ,283,58
Jacob,288,56
Joel,179,87
John,179,87
Jonathan,216,76
Josef ,318,48
Julian,192,80
Kevin,265,63
Kian,200,78
Leo ,538,18
Leon,517,21
Liam,790,4
Loke ,272,62
Loui,352,40
Love ,348,41
Lucas,864,2
Ludvig ,565,12
Malte ,319,47
Matteo,263,64
Max ,308,50
Maximilian ,163,93
Melker ,329,44
Melvin,460,28
Milian,142,98
Milo,252,67
Milton ,245,70
Mio,142,98
Mohamed,410,35
Nicolas,198,79
Nils ,551,16
Noah,627,10
Noel ,289,54
Oliver ,700,5
Olle ,414,34
Omar,151,96
Oscar,879,1
Otto,225,74
Rasmus,159,94
Sam,288,56
Samuel ,175,89
Sebastian ,154,95
Sigge,276,61
Simon ,192,80
Sixten,359,39
Tage,258,65
Theo ,429,31
Theodor,475,25
Thor,165,92
Valter,476,24
Vidar,320,46
Viggo ,389,36
Viktor,471,27
Vilgot,189,82
Wilhelm,228,73
Ville,234,71
William,850,3
Wilmer ,289,54
Vincent,537,19
