address,price,list_fee,sold_date,sqm,rooms,elevator,patio,new_production,balcony,gardet,kungsholmen,norrmalm,ostermalm,sodermalm,vasastan
"Settergatan 14, Vån 5 / 10",7500000,4312.0,2023-04-12,71.0,3.0,1,0,0,1,1,0,0,0,0,0
"Heimdalsgatan 5, 3tr",14200000,4755.0,2023-04-12,103.0,5.0,1,0,0,1,0,0,0,0,0,1
"Bellmansgatan 21, 3 tr",10400000,3760.0,2023-04-12,83.0,3.0,0,0,0,1,0,0,0,0,1,0
"Gumshornsgatan 7, 4 tr",3900000,1975.0,2023-04-12,28.5,1.0,1,0,0,1,0,0,0,1,0,0
"Bondegatan 46, 5tr",2750000,1206.0,2023-04-12,21.0,1.0,1,0,0,1,0,0,0,0,1,0
Artillerigatan 72B,6725000,3520.0,2023-04-12,66.0,3.0,1,0,0,1,0,0,0,1,0,0
Grubbensringen 9,5700000,5553.0,2023-04-12,72.0,2.0,1,0,0,0,0,1,0,0,0,0
Igeldammsgatan 22 A,7975000,4558.0,2023-04-12,83.0,3.0,1,0,0,0,0,1,0,0,0,0
Lilla Västerbron 10,7200000,4284.0,2023-04-12,85.5,3.0,0,0,0,1,0,1,0,0,0,0
"Blecktornsstigen 9, 2 tr",8150000,4634.0,2023-04-12,75.0,3.0,0,0,0,0,0,0,0,0,1,0
Fridhemsgatan 55,5200000,1965.0,2023-04-12,43.0,2.0,1,0,0,1,0,1,0,0,0,0
"Tomtebogatan 3A, 4tr",5500000,1125.0,2023-04-12,40.0,2.0,1,0,0,1,0,0,0,0,0,1
"Pilgatan 26, vån 4",8400000,5387.0,2023-04-12,73.0,3.0,1,0,0,1,0,1,0,0,0,0
Sankt eriksgatan 41,2950000,790.0,2023-04-12,27.0,1.0,1,1,0,0,0,1,0,0,0,0
"Hälsingegatan 6, 5tr",6000000,1903.0,2023-04-12,54.0,2.0,1,0,0,0,0,0,0,0,0,1
Folkungagatan 146 A,10000000,3988.0,2023-04-12,115.0,4.0,1,0,0,1,0,0,0,0,1,0
"Kungsklippan 12, 4 tr",3600000,2905.0,2023-04-11,36.0,2.0,1,0,0,1,0,1,0,0,0,0
Runiusgatan 5,8495000,4554.0,2023-04-11,107.0,4.0,1,0,0,1,0,1,0,0,0,0
"Tomtebogatan 32, 2tr.",9150000,4606.0,2023-04-11,85.0,3.0,1,0,0,0,0,0,0,0,0,1
Hagagatan 11,7000000,3268.0,2023-04-11,69.0,3.0,1,1,0,0,0,0,0,0,0,1
"Tegelviksgatan 14, 5 tr",7725000,4748.0,2023-04-11,92.0,4.0,1,0,0,1,0,0,0,0,1,0
"Skånegatan 57A, 3tr",6400000,2431.0,2023-04-11,59.0,2.0,0,0,0,1,0,0,0,0,1,0
Robert Almströmsgatan 6,5975000,3780.0,2023-04-11,64.0,3.0,1,0,0,0,0,0,0,0,0,1
"Grindsgatan 29, 1 tr",7300000,3880.0,2023-04-11,77.0,3.0,1,0,0,0,0,0,0,0,1,0
"Västmannagatan 30A, 1 tr",6350000,2912.0,2023-04-11,59.0,2.0,0,0,0,1,0,0,0,0,0,1
"Erik Dahlbergsgatan 53, 2tr",4500000,3144.0,2023-04-11,58.0,2.0,1,0,0,1,1,0,0,0,0,0
Storgatan 30,5200000,1580.0,2023-04-11,40.0,1.0,1,0,0,1,0,0,0,1,0,0
Strandvägen 11,67000000,6409.0,2023-04-11,239.0,8.0,1,0,0,1,0,0,0,1,0,0
Melodislingan 50 - 4 tr!,4900000,3991.0,2023-04-10,41.0,2.0,1,0,0,1,0,0,0,1,0,0
"Garvargatan 7, 2 tr",7650000,2866.0,2023-04-10,83.0,3.0,1,0,0,0,0,1,0,0,0,0
Maria Bangata 2 B,5050000,2492.0,2023-04-10,46.0,2.5,0,0,0,0,0,0,0,0,1,0
"John bergs plan 4, 2 tr",3600000,1618.0,2023-04-10,38.0,1.5,1,0,0,1,0,1,0,0,0,0
"Lottens gata 6, 3 tr",4325000,2878.0,2023-04-10,45.0,2.0,1,0,0,1,0,0,0,0,1,0
Brännkyrkagatan 92A,3250000,2395.0,2023-04-10,34.0,1.5,0,0,0,0,0,0,0,0,1,0
"Tegeluddsvägen 30, 5 tr",3195000,2566.0,2023-04-09,35.0,2.0,1,0,0,1,1,0,0,0,0,0
Kungsbro Strand 21,3300000,3149.0,2023-04-08,34.0,1.0,1,0,0,1,0,1,0,0,0,0
Drottningholmsvägen 52,5075000,2659.0,2023-04-08,58.0,2.0,1,0,0,1,0,1,0,0,0,0
"Skeppargatan 67, 4 tr",7650000,4567.0,2023-04-07,77.5,3.0,1,0,0,1,0,0,0,1,0,0
"Nackagatan 21, 4 tr.",6500000,5137.0,2023-04-07,91.0,3.0,1,0,0,1,0,0,0,0,1,0
Brantingsgatan 18,7750000,3811.0,2023-04-07,70.5,3.5,1,0,0,1,1,0,0,0,0,0
"Värtavägen 59, 2 tr",2550000,1266.0,2023-04-07,24.0,1.0,0,0,0,1,1,0,0,0,0,0
"Frejgatan 36A, 2 tr",4235000,2888.0,2023-04-07,38.0,2.0,1,0,0,1,0,0,0,0,0,1
"Pontonjärgatan 45, 4 tr",6350000,4114.0,2023-04-07,64.0,2.0,1,0,0,0,0,1,0,0,0,0
"Strindbergsgatan 50, 4tr",5000000,2346.0,2023-04-07,54.0,2.0,1,0,0,0,0,0,0,1,0,0
"Erstagatan 22, 4tr",7440000,4367.0,2023-04-06,74.0,2.5,1,0,0,1,0,0,0,0,1,0
"Heleneborgsgatan 7A, 2 tr ",6250000,2872.0,2023-04-06,58.0,2.0,1,0,0,1,0,0,0,0,1,0
"Rutger Fuchsgatan 8B, 2tr",2950000,1877.0,2023-04-06,33.0,1.0,1,0,0,1,0,0,0,0,1,0
Ulriksborgsgatan 9,3520000,2319.0,2023-04-06,40.0,1.5,1,0,0,1,0,1,0,0,0,0
"Bråvallagatan 10, 2tr",7150000,2238.0,2023-04-06,67.0,3.0,0,0,0,1,0,0,0,0,0,1
Disponentgatan 1,2620000,2176.0,2023-04-06,30.0,1.0,1,0,0,0,0,1,0,0,0,0
"Furusundsgatan 15, 2 tr",3550000,2361.0,2023-04-06,37.0,1.5,1,0,0,1,1,0,0,0,0,0
"Artillerigatan 89, 4 tr",6210000,2548.0,2023-04-06,66.0,2.0,1,0,0,1,1,0,0,0,0,0
"Upplandsgatan 85A, 1tr",7000000,3309.0,2023-04-06,69.0,2.0,1,0,0,0,0,0,0,0,0,1
"Magnus Ladulåsgatan 53,våning 6!",6050000,3650.0,2023-04-06,80.0,3.5,1,0,0,1,0,0,0,0,1,0
Olof Palmes gata 14,6850000,3544.0,2023-04-06,76.0,3.0,1,0,0,1,0,0,1,0,0,0
"Ynglingagatan 19, 5 tr",11250000,4563.0,2023-04-06,100.0,4.0,1,0,0,1,0,0,0,0,0,1
Krukmakargatan 33B,7575000,3290.0,2023-04-06,77.0,3.0,1,0,0,1,0,0,0,0,1,0
"Jaktvarvsplan 3, 4 tr",6060000,3427.0,2023-04-06,58.5,2.0,1,0,0,0,0,1,0,0,0,0
Borgmästargatan 4A,3400000,2096.0,2023-04-06,33.0,1.0,1,0,0,1,0,0,0,0,1,0
"John Ericssonsgatan 7, 1 tr (vån 2)",8000000,4343.0,2023-04-06,84.0,3.5,1,0,0,1,0,1,0,0,0,0
Ivan Oljelunds gränd 2,6570000,5647.0,2023-04-06,76.0,3.0,1,1,0,0,0,1,0,0,0,0
Essinge Brogata 15,2860000,2196.0,2023-04-06,38.0,2.0,1,0,0,0,0,1,0,0,0,0
"Kungsklippan 5, 4tr",5125000,2119.0,2023-04-06,46.0,1.5,1,0,0,0,0,1,0,0,0,0
"Bågljusvägen 5, vån 3",5445000,4012.0,2023-04-06,65.0,2.0,1,0,0,1,0,1,0,0,0,0
Sysslomansgatan 11,4225000,2580.0,2023-04-06,43.0,2.0,1,0,0,1,0,1,0,0,0,0
"Bondegatan 46, 2tr",3425000,1836.0,2023-04-06,32.0,1.0,1,0,0,1,0,0,0,0,1,0
"Blekingegatan 57, 2 tr",3420000,2096.0,2023-04-06,36.0,1.5,1,0,0,0,0,0,0,0,1,0
Västmannagatan 54,5400000,1019.0,2023-04-06,50.0,2.0,1,1,0,0,0,0,0,0,0,1
"Lilla Västerbron 10, vån 8",9900000,5014.0,2023-04-06,108.5,4.0,1,0,0,1,0,1,0,0,0,0
"Karlbergsvägen 33B, ög",6100000,3007.0,2023-04-06,57.0,2.0,1,0,0,1,0,0,0,0,0,1
"Lagerlöfsgatan 4, 5 Tr",4400000,3027.0,2023-04-06,50.0,2.0,1,0,0,1,0,1,0,0,0,0
"Gästrikegatan 11A, vån 3 ö.g",9000000,3259.0,2023-04-06,72.0,3.0,0,0,0,1,0,0,0,0,0,1
"Färgargårdstorget 80, vån 4",8400000,5333.0,2023-04-06,107.0,4.0,1,0,0,1,0,0,0,0,1,0
"Folkungagatan 78, vån 5",11495000,6532.0,2023-04-06,110.0,4.0,1,0,0,1,0,0,0,0,1,0
"Östhammarsgatan 67, 3 tr",3125000,2598.0,2023-04-06,39.5,2.0,0,0,0,0,1,0,0,0,0,0
Karlbergsvägen 35 C,4500000,2070.0,2023-04-05,40.0,1.0,1,0,0,0,0,0,0,0,0,1
Birger Jarlsgatan 93B ,10400000,3718.0,2023-04-05,91.0,4.0,1,0,0,1,0,0,0,0,0,1
Birger Jarlsgatan 104K,4430000,2766.0,2023-04-05,43.0,1.5,0,0,0,0,0,0,0,1,0,0
Tre Liljor 6,3930000,1797.0,2023-04-05,39.0,1.5,1,0,0,0,0,0,0,0,0,1
"Karlbergsvägen 66A, 2tr",10495000,4915.0,2023-04-05,95.7,3.0,0,0,0,1,0,0,0,0,0,1
Bastugatan 19,7500000,3125.0,2023-04-05,65.0,2.5,1,0,0,1,0,0,0,0,1,0
Pokalvägen 5,7350000,4221.0,2023-04-05,76.5,3.5,1,0,0,1,0,0,0,0,1,0
Hantverkargatan 44,8650000,4725.0,2023-04-05,81.0,3.0,1,0,0,1,0,1,0,0,0,0
"Vikingagatan 7, 5tr",7650000,3660.0,2023-04-05,71.0,3.0,1,0,0,0,0,0,0,0,0,1
"Norra Stationsgatan 117, 6tr",5550000,2952.0,2023-04-05,46.0,2.0,1,0,0,1,0,0,0,0,0,1
Celsiusgatan 8,4305000,2438.0,2023-04-05,43.5,2.0,1,0,0,1,0,1,0,0,0,0
"Flintbacken 2, 12 av 12 tr",3320000,1832.0,2023-04-05,34.0,2.0,1,0,0,0,0,0,0,0,1,0
Lindhagensgatan 65,3920000,2993.0,2023-04-05,46.5,2.0,0,0,0,0,0,1,0,0,0,0
Högbergsgatan 50,4250000,1160.0,2023-04-05,45.0,2.0,1,0,0,1,0,0,0,0,1,0
Ernst Ahlgrens väg 3,3810000,2445.0,2023-04-05,43.0,2.0,0,0,0,1,0,1,0,0,0,0
"Artemisgatan 69, 2½ tr",3580000,2395.0,2023-04-05,37.0,2.0,0,0,0,1,1,0,0,0,0,0
Bergsgatan 3 A,7000000,2715.0,2023-04-05,64.0,2.0,0,0,0,1,0,1,0,0,0,0
"Ölandsgatan 46, 5tr",4400000,2799.0,2023-04-05,42.0,2.0,1,0,0,1,0,0,0,0,1,0
"Timmermansgränd 4, 6 tr",8100000,4373.0,2023-04-05,105.0,4.0,1,0,0,1,0,0,0,0,1,0
Primusgatan 82,4250000,3093.0,2023-04-05,44.5,2.0,1,0,0,1,0,1,0,0,0,0
"Scheelegatan 28, 4TR",9050000,3064.0,2023-04-05,78.0,3.0,1,0,0,0,0,1,0,0,0,0
Åsögatan 167A,6350000,3232.0,2023-04-05,55.0,2.0,0,0,0,1,0,0,0,0,1,0
"Högalidsgatan 13B, 3 tr",6550000,3346.0,2023-04-05,66.0,2.5,1,0,0,0,0,0,0,0,1,0
"Hornsbergs Strand 85, vån 3",5670000,3307.0,2023-04-05,65.0,3.0,1,0,0,1,0,1,0,0,0,0
Blanchegatan 18,2950000,1597.0,2023-04-05,25.0,1.0,1,0,0,1,1,0,0,0,0,0
"Tomtebogatan 13B, 3tr",4750000,1801.0,2023-04-05,41.0,1.5,0,0,0,1,0,0,0,0,0,1
Lundagatan 52,3170000,1423.0,2023-04-05,25.0,1.0,0,0,0,1,0,0,0,0,1,0
Ola Hanssonsgatan 4,3215000,2956.0,2023-04-05,37.0,2.0,1,0,0,1,0,1,0,0,0,0
"Birger Jarlsgatan 115B, 5tr",5895000,2924.0,2023-04-05,61.0,2.0,1,0,0,1,0,0,0,0,0,1
"Erik Dahlbergsgatan 41, 3tr",3050000,1493.0,2023-04-05,27.0,1.0,1,0,0,0,1,0,0,0,0,0
"Bergsgatan 49, 3tr",7495000,3875.0,2023-04-05,77.0,3.0,1,0,0,1,0,1,0,0,0,0
"Värtavägen 23, 2tr",7450000,3625.0,2023-04-05,69.0,3.0,1,0,0,1,1,0,0,0,0,0
"Gävlegatan 26, vån 3",4075000,2000.0,2023-04-05,40.0,2.0,1,0,0,1,0,0,0,0,0,1
Warfvinges Väg 3,4130000,3047.0,2023-04-05,52.0,2.0,1,0,0,1,0,1,0,0,0,0
Hälsingegatan 51,4850000,3163.0,2023-04-05,55.0,2.0,1,0,0,0,0,0,0,0,0,1
"Pilgatan 19C, 2 tr",8610000,5075.0,2023-04-05,87.0,4.0,1,0,0,1,0,1,0,0,0,0
Blekingegatan 36,4050000,2295.0,2023-04-05,45.0,2.0,1,1,0,0,0,0,0,0,1,0
"Magnus Ladulåsgatan 29, 3tr",4450000,2588.0,2023-04-05,55.0,2.5,1,0,0,1,0,0,0,0,1,0
"Sturegatan 44C, 3+4tr",12750000,5225.0,2023-04-05,125.0,3.0,0,0,0,1,0,0,0,1,0,0
"Gotlandsgatan 69, 2,5 tr",7425000,3137.0,2023-04-05,68.0,2.0,1,0,0,1,0,0,0,0,1,0
Sankt Eriksgatan 85C,3650000,977.0,2023-04-04,35.0,1.0,1,0,0,0,0,0,0,0,0,1
Vegagatan 5,3600000,1693.0,2023-04-04,35.0,1.0,1,0,0,0,0,0,0,0,0,1
"Drakenbergsgatan 19, 3 tr",12550000,5852.0,2023-04-04,128.0,5.0,1,0,0,1,0,0,0,0,1,0
"Bondegatan 18, 3 tr",5650000,3484.0,2023-04-04,60.0,2.0,1,0,0,1,0,0,0,0,1,0
Wennerbergsgatan 2,6100000,5808.0,2023-04-04,87.0,4.0,1,0,0,1,0,1,0,0,0,0
Hjalmar Söderbergs väg 8,7000000,4442.0,2023-04-04,82.0,3.0,1,0,0,1,0,1,0,0,0,0
"Surbrunnsgatan 13, 1 / 2tr",8700000,3074.0,2023-04-04,70.0,3.0,0,1,0,0,0,0,0,0,0,1
"Warfvinges väg 18, vån 12",6425000,5204.0,2023-04-04,78.5,3.0,1,0,0,1,0,1,0,0,0,0
Bergsgatan 31,3755000,1995.0,2023-04-04,36.0,1.5,1,0,0,0,0,1,0,0,0,0
Nybrogatan 38B,4975000,1742.0,2023-04-04,44.0,2.0,0,0,0,0,0,0,0,1,0,0
"Bredgränd 7, 3 tr",4675000,2726.0,2023-04-04,39.0,1.5,0,0,0,0,0,0,0,0,0,0
"Fleminggatan 49, 5tr.",5435000,1739.0,2023-04-04,53.0,2.0,1,0,0,1,0,1,0,0,0,0
Sankt Göransgatan 70,3495000,789.0,2023-04-04,38.0,1.0,1,0,0,0,0,1,0,0,0,0
Lanforsvägen 43,3275000,3172.0,2023-04-04,44.2,2.0,0,0,0,0,1,0,0,0,0,0
Torsgatan 72,2850000,1002.0,2023-04-04,23.0,1.0,1,0,0,0,0,0,0,0,0,1
Sysslomansgatan 8,4195000,2379.0,2023-04-04,48.0,2.0,1,0,0,1,0,1,0,0,0,0
"P O Hallmans gata 5, 4tr",10500000,7007.0,2023-04-04,121.0,5.0,1,0,0,1,0,1,0,0,0,0
"Långholmsgatan 5, 3 tr",10400000,4492.0,2023-04-04,98.0,4.0,1,0,0,1,0,0,0,0,1,0
Maria prästgårdsgata 19,7725000,5052.0,2023-04-04,74.0,3.0,1,0,0,1,0,0,0,0,1,0
"Furusundsgatan 8, 4 tr",3300000,1646.0,2023-04-04,31.0,1.0,1,0,0,1,1,0,0,0,0,0
Sankt Eriksgatan 18,9400000,4347.0,2023-04-04,91.0,3.0,1,0,0,1,0,1,0,0,0,0
"Bergsundsgatan 14, 5 tr",5400000,4458.0,2023-04-04,50.0,2.0,1,0,0,1,0,0,0,0,1,0
"Frejgatan 4, 3tr",7230000,2861.0,2023-04-04,62.0,2.0,1,0,0,1,0,0,0,0,0,1
Dalagatan 102,7100000,3801.0,2023-04-04,77.0,3.0,1,0,0,1,0,0,0,0,0,1
Åsögatan 92,4950000,3309.0,2023-04-04,57.0,2.5,1,0,0,1,0,0,0,0,1,0
"Rådmansgatan 80 A, 3tr",10850000,5569.0,2023-04-04,107.0,4.0,1,0,0,1,0,0,0,0,0,1
Götgatan 92A,4250000,1672.0,2023-04-04,46.0,2.0,1,0,0,0,0,0,0,0,1,0
"Hedemoratäppan 1, 2 tr",3380000,1743.0,2023-04-04,28.0,1.0,0,0,0,0,0,0,0,0,0,1
Valhallavägen 61,12650000,6375.0,2023-04-04,152.0,4.0,1,0,0,1,0,0,0,1,0,0
"Valhallavägen 82, 1,5 tr",14800000,4882.0,2023-04-04,130.0,4.0,1,0,0,1,0,0,0,1,0,0
"Norr Mälarstrand 96, 3tr",12750000,6113.0,2023-04-04,117.0,4.0,1,0,0,1,0,1,0,0,0,0
Högalidsgatan 29,2610000,1646.0,2023-04-04,24.0,1.0,1,0,0,0,0,0,0,0,1,0
"Älvsborgsgatan 1, 2 tr",4100000,2969.0,2023-04-04,40.0,2.0,1,0,0,1,0,0,0,0,1,0
"Södermannagatan 34, 2 tr",9100000,4688.0,2023-04-04,82.0,3.0,1,0,0,0,0,0,0,0,1,0
"Tomtebogatan 39A, 4tr ö.g",6000000,3141.0,2023-04-04,60.0,2.0,0,0,0,0,0,0,0,0,0,1
Eyvind Johnsons gata 7,4450000,2854.0,2023-04-03,51.0,2.0,1,0,0,1,0,1,0,0,0,0
"Högalidsgatan 13B, 4 tr",6585000,3380.0,2023-04-03,66.0,3.0,1,0,0,0,0,0,0,0,1,0
Drottningholmsvägen 78,3350000,3304.0,2023-04-03,35.0,2.0,1,0,0,0,0,1,0,0,0,0
"Siargatan 11, 1TR",5300000,3269.0,2023-04-03,69.0,3.0,1,0,0,0,0,0,0,0,1,0
Hornsgatan 117 /Drakenbergsgatan 16,3550000,2111.0,2023-04-03,46.0,1.5,1,0,0,1,0,0,0,0,1,0
Lindhagensgatan 77,4850000,3050.0,2023-04-03,62.0,3.0,1,0,0,1,0,1,0,0,0,0
"Värtavägen 53 B, 3 tr",8800000,4926.0,2023-04-03,95.0,4.0,1,0,1,0,1,0,0,0,0,0
Katarina Bangata 61 4.5tr,2900000,1582.0,2023-04-03,26.0,1.0,1,0,0,0,0,0,0,0,1,0
Norra Stationsgatan 62B,3420000,2428.0,2023-04-03,35.0,2.0,1,0,0,1,0,0,0,0,0,1
St Eriksgatan 39,3100000,731.0,2023-04-03,25.0,1.0,1,0,0,0,0,1,0,0,0,0
Smedsbacksgatan 16,4350000,1830.0,2023-04-03,42.0,2.0,1,0,0,1,1,0,0,0,0,0
Engelbrektsgatan 16,10500000,4422.0,2023-04-03,87.0,3.5,1,0,0,1,0,0,0,1,0,0
Södra Agnegatan 26A,6550000,2491.0,2023-04-03,55.0,2.0,0,0,0,1,0,1,0,0,0,0
"Narvavägen 20, bv",4365000,1850.0,2023-04-03,34.0,2.0,0,0,0,0,0,0,0,1,0,0
"Jägmästargatan 12, 2 tr",4975000,2923.0,2023-04-03,51.0,2.0,0,0,0,0,1,0,0,0,0,0
"Linnégatan 60, 1 tr",10100000,4232.0,2023-04-03,77.0,3.0,1,0,0,1,0,0,0,1,0,0
Fredrikshovsgatan 10,18100000,6493.0,2023-04-03,150.0,4.0,1,0,0,1,0,0,0,1,0,0
"Tjurbergsgatan 27C, 5 tr",5650000,4287.0,2023-04-03,76.5,3.0,1,0,0,1,0,0,0,0,1,0
Karlavägen 8,11800000,3775.0,2023-04-03,100.0,4.0,1,0,0,1,0,0,0,1,0,0
Artemisgatan 7,6600000,4147.0,2023-04-02,78.0,3.0,0,0,0,1,1,0,0,0,0,0
Kungsholms strand 143,3900000,2257.0,2023-04-02,53.0,2.0,0,0,0,0,0,1,0,0,0,0
Ringvägen 129A,7000000,3452.0,2023-04-02,87.0,2.5,1,0,0,0,0,0,0,0,1,0
"Bondegatan 24, 5tr",3100000,1560.0,2023-04-02,27.0,1.0,1,0,0,1,0,0,0,0,1,0
Tjurbergsgatan 27A,6100000,4287.0,2023-04-02,76.5,3.0,1,0,0,1,0,0,0,0,1,0
Götgatan 122 (ingång Ringvägen 111),7950000,4680.0,2023-04-02,99.0,5.0,1,0,0,1,0,0,0,0,1,0
Strålgatan 45,3300000,3039.0,2023-04-02,46.0,2.0,1,0,0,1,0,1,0,0,0,0
Östgötagatan 87B,6650000,2558.0,2023-04-02,70.0,3.0,1,0,0,0,0,0,0,0,1,0
Wollmar Yxkullsgatan 48B,4100000,2751.0,2023-04-02,40.0,2.0,0,0,0,0,0,0,0,0,1,0
John Ericssonsgatan 14,3050000,1224.0,2023-04-02,30.0,1.5,1,0,0,0,0,1,0,0,0,0
Folkungagatan 101,3800000,2156.0,2023-04-01,42.0,2.0,1,0,0,0,0,0,0,0,1,0
"Flintbacken 2, 7 tr",6100000,4102.0,2023-04-01,80.0,3.0,1,0,0,1,0,0,0,0,1,0
Timmermansgatan 38B,4300000,2964.0,2023-04-01,50.0,2.0,1,0,0,1,0,0,0,0,1,0
Saltmätargatan 6,3800000,1259.0,2023-04-01,35.0,1.0,1,0,0,0,0,0,1,0,0,0
Rörstrandsgatan 48A,4575000,2467.0,2023-04-01,37.0,2.0,0,0,0,1,0,0,0,0,0,1
Bråvallagatan 8,3250000,2184.0,2023-04-01,31.0,1.0,1,0,0,0,0,0,0,0,0,1
"Hälsingegatan 61, 2S",5025000,2501.0,2023-04-01,52.0,1.5,1,0,0,1,0,0,0,0,0,1
"Dalagatan 30, 4 tr",11850000,2662.0,2023-04-01,90.0,4.0,1,0,0,1,0,0,0,0,0,1
Wittstocksgatan 7,18600000,4996.0,2023-04-01,132.0,3.0,1,0,0,1,0,0,0,1,0,0
Regeringsgatan 70D,9600000,4030.0,2023-03-31,103.0,4.0,1,0,0,1,0,0,0,1,0,0
"Bohusgatan 37, 5 tr",6150000,2997.0,2023-03-31,75.0,3.0,1,0,0,0,0,0,0,0,1,0
"Strålgatan 47, vån 4 av 4 ",2400000,2052.0,2023-03-31,24.0,1.0,1,0,0,1,0,1,0,0,0,0
"Brännkyrkagatan 55, 5tr",9360000,5912.0,2023-03-31,101.0,5.0,1,0,0,1,0,0,0,0,1,0
Folkungagatan 101,2300000,1463.0,2023-03-31,24.0,1.0,1,0,0,0,0,0,0,0,1,0
"Carl-Gustaf Lindstedts Gata 6, 5 tr",6550000,6054.0,2023-03-31,81.5,3.0,1,0,0,1,0,1,0,0,0,0
"Fleminggatan 81, 3tr",4575000,2500.0,2023-03-31,46.0,2.0,1,0,0,0,0,1,0,0,0,0
Starrängsringen 23,8700000,4297.0,2023-03-31,85.0,3.0,1,0,0,1,1,0,0,0,0,0
Ringvägen 83,5900000,3105.0,2023-03-31,66.0,2.5,1,0,0,1,0,0,0,0,1,0
Kungstensgatan 29,5900000,2586.0,2023-03-31,60.0,2.0,1,1,0,0,0,0,0,0,0,1
"Tjurbergsgatan 27E, 5 tr",5475000,4287.0,2023-03-31,76.5,3.0,1,0,0,1,0,0,0,0,1,0
Björngårdsgatan 14B,13900000,3944.0,2023-03-31,108.0,4.0,0,1,0,0,0,0,0,0,1,0
Sveavägen 136,8375000,2667.0,2023-03-31,80.0,3.0,1,0,0,1,0,0,0,0,0,1
Idungatan 8A,9000000,2926.0,2023-03-31,73.0,3.0,1,1,0,1,0,0,0,0,0,1
Folkungagatan 136A,3355000,1787.0,2023-03-31,32.0,1.0,0,0,0,0,0,0,0,0,1,0
"Wittstocksgatan 30, 3tr",9000000,1431.0,2023-03-31,76.0,3.0,1,0,0,1,0,0,0,1,0,0
Norrtullsgatan 36,3550000,1903.0,2023-03-31,33.0,1.5,1,0,0,1,0,0,0,0,0,1
Vulcanusgatan 1,4000000,2206.0,2023-03-31,42.0,1.5,1,0,0,0,0,0,0,0,0,1
Värtavägen 31,6050000,3193.0,2023-03-31,61.0,3.0,1,0,0,0,1,0,0,0,0,0
"Sysslomansgatan 8, 2 tr",3800000,2059.0,2023-03-31,41.0,2.0,1,0,0,0,0,1,0,0,0,0
"Sandhamnsgatan 21, 6 tr",5295000,2035.0,2023-03-31,59.0,3.0,1,0,0,1,1,0,0,0,0,0
"Luntmakargatan 61, 1 tr",11500000,6980.0,2023-03-31,113.0,4.0,1,0,0,1,0,0,1,0,0,0
"Skeppargatan 98, 3tr",2800000,1378.0,2023-03-31,22.5,1.0,1,0,0,0,1,0,0,0,0,0
"John Ericssonsgatan 15, 5 av 5 Tr",3900000,1495.0,2023-03-31,35.0,1.0,1,0,0,1,0,1,0,0,0,0
Östgötagatan 66,3850000,902.0,2023-03-31,38.0,1.0,1,0,0,0,0,0,0,0,1,0
"Gambrinusgatan 5, ½ tr",3300000,2072.0,2023-03-31,36.0,2.0,1,0,0,0,0,1,0,0,0,0
"Kaptensgatan 11, 4tr",20000000,5208.0,2023-03-31,129.0,4.0,1,0,0,0,0,0,0,1,0,0
Rindögatan 30,3835000,2771.0,2023-03-30,38.0,1.5,1,0,0,1,0,0,0,1,0,0
Sågargatan 17,5960000,5101.0,2023-03-30,62.0,3.0,1,0,0,1,0,0,0,0,1,0
Kommendörsgatan 4 ,9995000,3950.0,2023-03-30,78.0,4.0,1,0,0,1,0,0,0,1,0,0
Smedsbacksgatan 26,3350000,3218.0,2023-03-30,45.0,2.0,1,0,0,1,1,0,0,0,0,0
Ruddammsvägen 4,3500000,1683.0,2023-03-30,34.0,1.5,1,1,0,1,0,0,0,1,0,0
Starrängsringen 45,6175000,1892.0,2023-03-30,57.0,3.0,1,0,0,1,1,0,0,0,0,0
Lindhagensgatan 63,2860000,1728.0,2023-03-30,27.5,1.0,0,0,0,0,0,1,0,0,0,0
"Nordenflychtsvägen 64, vån 7",4050000,1579.0,2023-03-30,45.0,1.5,1,0,0,0,0,1,0,0,0,0
Bergsgatan 5B,14400000,5129.0,2023-03-30,118.0,4.0,1,0,0,1,0,1,0,0,0,0
"Norra Agnegatan 34A, 1 tr",11000000,3794.0,2023-03-30,93.0,4.0,1,0,0,1,0,1,0,0,0,0
Sankt Eriksgatan 71B,5800000,2462.0,2023-03-30,54.0,2.0,1,0,0,1,0,0,0,0,0,1
Jungfrugatan 28,5850000,2070.0,2023-03-30,50.0,2.0,1,0,0,0,0,0,0,1,0,0
Skeppargatan 57,17000000,4044.0,2023-03-30,114.0,4.0,1,0,0,1,0,0,0,1,0,0
Tjustgatan 3,3165000,2334.0,2023-03-30,36.0,1.5,1,0,0,0,0,0,0,0,1,0
"Fleminggatan 70, 6tr",8175000,2594.0,2023-03-30,83.0,3.0,1,0,0,1,0,1,0,0,0,0
Norra Stationsgatan 64B,4450000,3001.0,2023-03-30,46.5,2.0,1,0,0,1,0,0,0,0,0,1
Strålgatan 21,2800000,2735.0,2023-03-30,39.0,2.0,1,0,0,0,0,1,0,0,0,0
"Bergsgatan 51, 2tr",5515000,1491.0,2023-03-30,55.0,2.5,1,0,0,0,0,1,0,0,0,0
Breitenfeldsgatan 1,14500000,3618.0,2023-03-30,83.0,3.0,0,0,0,0,0,0,0,1,0,0
"Hälsingehöjden 3, 3,5 TR",7175000,3217.0,2023-03-30,63.0,2.0,1,0,0,1,0,0,0,0,0,1
Kristinebergsvägen 14,5770000,3701.0,2023-03-30,71.0,3.0,1,0,0,1,0,1,0,0,0,0
