Name,Count,Rank
Adam,602,10
Adrian,424,30
Albin,320,47
Alexander,521,17
Alfred,555,13
Algot,168,84
Ali,135,98
Alvar,148,93
Alve,146,95
Alvin,211,70
Amir,164,86
Anton,193,73
Aron,323,46
Arvid,481,23
August,483,22
Axel,413,32
Benjamin,366,40
Björn,139,97
Carl,240,63
Casper,239,64
Charlie,489,21
Colin,305,51
Daniel,133,100
Dante,180,80
David,152,92
Ebbe,369,39
Edvin,331,45
Elias,642,9
Elis,181,79
Elliot,468,26
Elton,373,38
Elvin,173,82
Emil,275,56
Erik,230,66
Felix,154,90
Filip,429,28
Folke,172,83
Frank,315,49
Frans,457,27
Gabriel,383,34
Gustav,238,65
Harry,522,16
Henry,349,43
Hjalmar,167,85
Hugo,712,3
Isak,496,19
Ivar,248,61
Jack,319,48
Jacob,268,57
Joel,144,96
Jonathan,153,91
Josef,380,36
Julian,182,77
Kian,207,71
Leo,543,14
Leon,570,11
Levi,213,69
Liam,698,5
Loke,251,59
Louie,418,31
Love,364,41
Lucas,709,4
Ludvig,470,24
Malte,382,35
Matteo,646,8
Max,226,67
Melker,265,58
Melvin,335,44
Milo,242,62
Milton,193,73
Mohamed,379,37
Nicholas,201,72
Nils,537,15
Noah,758,1
Noel,297,52
Oliver,649,7
Olle,358,42
Omar,157,89
Oscar,671,6
Otis,134,99
Otto,396,33
Sam,425,29
Samuel,164,86
Sigge,222,68
Sixten,292,53
Svante,133,100
Tage,307,50
Ted,147,94
Theo,496,19
Theodor,469,25
Ture,175,81
Walter,559,12
Vidar,279,55
Vide,162,88
Viggo,291,54
Viktor,251,59
Vilgot,192,75
Wilhelm,182,77
William,742,2
Wilmer,188,76
Vincent,501,18
