Name,Count,Rank
Adam,620,9
Adrian,503,17
Albin ,347,41
Alexander ,563,12
Alfred,510,15
Algot,146,96
Ali,173,82
Alve,140,98
Alvin,226,67
Amir,150,91
Anton,216,71
Aron,257,60
Arvid ,482,21
August,408,32
Axel ,455,25
Benjamin ,398,34
Carl,222,68
Casper ,267,57
Charlie,444,28
Colin,246,64
Daniel,148,95
Dante,149,93
David ,158,87
Ebbe,367,37
Edvin ,338,43
Elias ,729,4
Elis ,195,76
Elliot,498,20
Elton,327,44
Elvin,185,79
Emil,320,45
Erik ,262,58
Felix,182,80
Filip,465,24
Folke,146,96
Frank,304,50
Frans,448,27
Gabriel,423,30
Gustav ,311,48
Harry,451,26
Henry,341,42
Hjalmar,171,84
Hugo ,669,6
Ibrahim,138,99
Isak ,413,31
Ivar,214,72
Jack,306,49
Jacob,274,56
Joel,157,89
John,149,93
Josef ,370,36
Julian,202,74
Kevin,158,87
Kian,212,73
Leo ,548,13
Leon ,500,19
Levi,193,77
Liam,760,2
Loke ,255,61
Loui,403,33
Love ,350,39
Lucas,768,1
Ludvig ,505,16
Malte,316,46
Matteo,596,10
Max ,199,75
Melker ,282,55
Melvin ,352,38
Milo,236,65
Milton ,222,68
Mohamed,433,29
Nicholas,187,78
Nils ,539,14
Noah,680,5
Noel ,298,52
Oliver ,647,7
Olle ,349,40
Omar,173,82
Oscar,645,8
Otto,251,62
Sam,373,35
Samuel,163,86
Sigge,230,66
Sixten ,295,53
Tage,259,59
Theo ,502,18
Theodor,470,23
Thor,138,99
Ture,171,84
Walter,579,11
Vidar,316,46
Vide,152,90
Viggo ,301,51
Viktor,291,54
Vilgot,176,81
Wilhelm,220,70
Ville,150,91
William,732,3
Wilmer ,249,63
Vincent,476,22
